Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category
"Gel Bathing Bar - Multi Variant",125 g,265.00,265.00,BigBasket,BathAndHandWash
"Soft & Fresh Soap Bar",6x75 g,246.00,246.00,BigBasket,BathAndHandWash
"Soft & Fresh Soap Bar",125 g,67.00,67.00,BigBasket,BathAndHandWash
"Soft & Fresh Soap Bar",2x75 g,82.00,82.00,BigBasket,BathAndHandWash
"Soft & Fresh Soap Bar",2x125 g,134.00,134.00,BigBasket,BathAndHandWash
"Soft & Fresh Soap Bar",75 g,41.00,41.00,BigBasket,BathAndHandWash
"Soft & Fresh Soap Bar",4x75 g,164.00,164.00,BigBasket,BathAndHandWash
"Soft & Fresh Soap Bar",8x75 g,328.00,328.00,BigBasket,BathAndHandWash
Sanitize Hand Sanitizer - 60% Alcohol Based SanitizerLemon,500 ml,250.00,250.00,BigBasket,BathAndHandWash
"Original Bath Soap - 99.9% Germ Protection",8x100 g,280.00,266.00,BigBasket,BathAndHandWash
"Original Bath Soap - 99.9% Germ Protection",4x100 g,140.00,133.00,BigBasket,BathAndHandWash
"Original Bath Soap - 99.9% Germ Protection",100 g,35.00,33.25,BigBasket,BathAndHandWash
"Pure & Gentle Bathing Bar",100 g,38.00,38.00,BigBasket,BathAndHandWash
"Pure & Gentle Soap Bar",8x75 g,304.00,304.00,BigBasket,BathAndHandWash
"Pure & Gentle Soap Bar",2x75 g,76.00,76.00,BigBasket,BathAndHandWash
"Pure & Gentle Soap Bar",4x75 g,152.00,152.00,BigBasket,BathAndHandWash
"Ayurveda Clear Skin Soap",75 g,40.00,36.00,BigBasket,BathAndHandWash
"Ayurveda Clear Skin Soap",125 g,60.00,58.80,BigBasket,BathAndHandWash
Refill Handwash - Herbal,200 ml,45.00,45.00,BigBasket,BathAndHandWash
"Hand Wash - NaturalsSea Mineral",500 ml,120.00,120.00,BigBasket,BathAndHandWash
"Hand Wash - Sea MineralNatural",2x500 ml,240.00,240.00,BigBasket,BathAndHandWash
"Liquid Handwash - Sea MineralsRefill Pack",185 ml,49.00,49.00,BigBasket,BathAndHandWash
"Liquid Handwash - Sea MineralsRefill Pack",4x185 ml,196.00,196.00,BigBasket,BathAndHandWash
